point.ID,poly.ID,X,Y,TAXOUSDA,TAXNUSDA
71,3119,8887838,3679260,Arents,Udarents
72,210,8886343,3678410,Udolls,Argiudolls
73,2131,8921949,3681656,Udalfs,Hapludalfs
74,571,8861454,3669717,Udolls,Argiudolls
75,721,8988748,3668411,Udolls,Argiudolls
76,969,8835548,3643550,Aqualfs,Endoaqualfs
77,1387,8691534,3628528,Aqualfs,Epiaqualfs
78,964,8828431,3627321,Aqualfs,Endoaqualfs
79,866,8970378,3632988,Aqualfs,Endoaqualfs
80,1244,8995754,3625783,Aquolls,Endoaquolls
81,1244,8995754,3625783,Aquolls,Endoaquolls
82,2564,8790679,3785532,Udalfs,Hapludalfs
83,1504,8933359,3710196,Udalfs,Hapludalfs
84,175,8992046,3815191,Udolls,Argiudolls
85,659,8723728,3740684,Udolls,Argiudolls
86,272,8998282,3632035,Udolls,Argiudolls
87,297,8856545,3642420,Udolls,Argiudolls
88,1988,8694229,3810833,Udalfs,Hapludalfs
89,588,8847609,3807267,Udolls,Argiudolls
90,1147,8842369,3645193,Aquolls,Endoaquolls
91,1921,8855653,3664014,Udalfs,Hapludalfs
92,1733,8955042,3705315,Udalfs,Hapludalfs
93,1939,8913128,3796659,Udalfs,Hapludalfs
94,1557,9002776,3842023,Udalfs,Hapludalfs
95,1560,9001929,3831436,Udalfs,Hapludalfs
96,1560,9001929,3831436,Udalfs,Hapludalfs
97,1475,9002244,3835643,Saprists,Haplosaprists
98,1003,8913245,3623590,Aquents,Endoaquents
99,2794,8878866,3638845,Udolls,Hapludolls
100,1027,8870785,3638078,Aquolls,Endoaquolls
101,3271,8874444,3627920,Psamments,Udipsamments
102,3164,8888721,3797660,Fluvents,Udifluvents
103,1572,8911996,3786199,Udalfs,Hapludalfs
104,848,8680437,3661001,Udepts,Dystrudepts
105,860,8971378,3732622,Aqualfs,Endoaqualfs
106,859,8971331,3732617,Aqualfs,Endoaqualfs
107,1018,8989946,3726842,Aquolls,Endoaquolls
108,2675,8750981,3629904,Udolls,Hapludolls
109,2602,8765836,3727298,Udolls,Hapludolls
110,3036,8767574,3734078,Udolls,Hapludolls
111,48,8823807,3843592,Aqualfs,Albaqualfs
112,48,8823807,3843592,Aqualfs,Albaqualfs
113,2634,8688653,3856229,Udolls,Hapludolls
114,2580,8699160,3844252,Udolls,Hapludolls
115,1414,8705640,3842318,Ochrepts,Eutrochrepts
116,3031,8698346,3790942,Udolls,Hapludolls
117,2965,8666184,3622533,Udolls,Hapludolls
118,806,8786465,3719567,Udolls,Argiudolls
119,2309,8704974,3684627,Udalfs,Hapludalfs
120,396,8727126,3709629,Udolls,Argiudolls
121,588,8847609,3807267,Udolls,Argiudolls
122,1360,8676499,3789959,Aquolls,Endoaquolls
123,3061,8680338,3860776,Udolls,Hapludolls
124,1359,8699094,3866789,Aquolls,Endoaquolls
125,2633,8688659,3856213,Udolls,Hapludolls
126,3002,8810542,3834146,Udolls,Hapludolls
127,3147,8735215,3747313,Fluvents,Udifluvents
128,2583,8734399,3734936,Udolls,Hapludolls
129,3268,8785488,3716420,Psamments,Udipsamments
130,2342,8801731,3715773,Udalfs,Hapludalfs
131,2342,8801731,3715773,Udalfs,Hapludalfs
132,646,8780522,3683356,Udolls,Argiudolls
133,681,8833180,3746924,Udolls,Argiudolls
134,2479,8817883,3762463,Udalfs,Hapludalfs
135,2479,8817883,3762463,Udalfs,Hapludalfs
136,3057,8704296,3811832,Udolls,Hapludolls
137,2783,8706065,3808194,Udolls,Hapludolls
138,1017,8699486,3864278,Aquolls,Endoaquolls
139,3056,8681029,3838742,Udolls,Hapludolls
140,3057,8704296,3811832,Udolls,Hapludolls
141,2896,8812064,3814933,Udolls,Hapludolls
142,2767,8686916,3808121,Udolls,Hapludolls
143,2714,8723106,3854060,Udolls,Hapludolls
144,1325,8728047,3851632,Aquolls,Endoaquolls
145,3057,8704296,3811832,Udolls,Hapludolls
146,1988,8694229,3810833,Udalfs,Hapludalfs
147,2762,8692531,3818171,Udolls,Hapludolls
148,781,8699227,3813917,Udolls,Argiudolls
149,2783,8706065,3808194,Udolls,Hapludolls
150,781,8699227,3813917,Udolls,Argiudolls
151,994,8693369,3812571,Aqualfs,Endoaqualfs
152,1146,8676145,3811602,Aquolls,Endoaquolls
153,2767,8686916,3808121,Udolls,Hapludolls
154,2767,8686916,3808121,Udolls,Hapludolls
155,2767,8686916,3808121,Udolls,Hapludolls
156,1344,8702491,3807361,Aquolls,Endoaquolls
157,401,8701958,3807325,Udolls,Argiudolls
158,3054,8698511,3817381,Udolls,Hapludolls
159,3052,8696501,3817844,Udolls,Hapludolls
160,781,8699227,3813917,Udolls,Argiudolls
161,2710,8695959,3826268,Udolls,Hapludolls
162,2694,8731897,3784821,Udolls,Hapludolls
163,2334,8761782,3763844,Udalfs,Hapludalfs
164,2552,8753449,3717389,Udalfs,Hapludalfs
165,2039,8833730,3701463,Udalfs,Hapludalfs
166,950,8856348,3691259,Aqualfs,Endoaqualfs
167,902,8865147,3690271,Aqualfs,Endoaqualfs
168,1761,8859683,3672400,Udalfs,Hapludalfs
169,3123,8889105,3621735,Arents,Udarents
170,124,8764382,3645760,Aquolls,Argiaquolls
171,1408,8791041,3661313,Aqualfs,Epiaqualfs
172,2816,8799223,3625719,Udolls,Hapludolls
173,2540,8766030,3645041,Udalfs,Hapludalfs
174,1405,8787012,3646599,Aqualfs,Epiaqualfs
175,166,8774991,3718423,Udolls,Argiudolls
176,669,8810152,3723327,Udolls,Argiudolls
177,1996,8753151,3669180,Udalfs,Hapludalfs
178,1996,8753151,3669180,Udalfs,Hapludalfs
179,2723,8758130,3719087,Udolls,Hapludolls
180,108,8667245,3709912,Aquolls,Argiaquolls
181,3048,8802722,3727142,Udolls,Hapludolls
182,3046,8777752,3705714,Udolls,Hapludolls
183,2721,8749169,3803987,Udolls,Hapludolls
184,1143,8752966,3671152,Aquolls,Endoaquolls
185,2687,8672487,3829726,Udolls,Hapludolls
186,678,8668653,3749773,Udolls,Argiudolls
187,680,8854545,3736303,Udolls,Argiudolls
188,680,8854545,3736303,Udolls,Argiudolls
189,1330,8663265,3821891,Aquolls,Endoaquolls
190,3049,8861389,3753112,Udolls,Hapludolls
191,2681,8739261,3824706,Udolls,Hapludolls
192,1335,8774122,3768337,Aquolls,Endoaquolls
193,2323,8795138,3699734,Udalfs,Hapludalfs
194,2600,8778419,3734243,Udolls,Hapludolls
195,1303,8792428,3778721,Aquolls,Endoaquolls
196,2544,8755259,3710574,Udalfs,Hapludalfs
197,645,8793162,3676283,Udolls,Argiudolls
198,3012,8795769,3825654,Udolls,Hapludolls
199,3013,8797114,3826254,Udolls,Hapludolls
200,855,8812521,3747583,Aqualfs,Endoaqualfs
201,2543,8676809,3677425,Udalfs,Hapludalfs
202,2925,8820422,3675466,Udolls,Hapludolls
203,3059,8672492,3850373,Udolls,Hapludolls
204,2991,8868498,3761347,Udolls,Hapludolls
205,1262,8718666,3817495,Aquolls,Endoaquolls
206,1347,8686986,3829013,Aquolls,Endoaquolls
207,3014,8743143,3853362,Udolls,Hapludolls
208,1254,8714491,3861129,Aquolls,Endoaquolls
209,1347,8686986,3829013,Aquolls,Endoaquolls
210,3023,8856812,3789159,Udolls,Hapludolls
211,3040,8780662,3754101,Udolls,Hapludolls
212,2351,8714265,3851836,Udalfs,Hapludalfs
213,2921,8667548,3820110,Udolls,Hapludolls
214,1533,8697763,3858292,Udalfs,Hapludalfs
215,2659,8759443,3820403,Udolls,Hapludolls
216,3266,8783059,3699912,Psamments,Udipsamments
217,778,8793090,3736044,Udolls,Argiudolls
218,2719,8857834,3763252,Udolls,Hapludolls
219,2323,8795138,3699734,Udalfs,Hapludalfs
220,3060,8665870,3789013,Udolls,Hapludolls
221,2600,8778419,3734243,Udolls,Hapludolls
222,3032,8862250,3765488,Udolls,Hapludolls
223,2311,8786829,3704843,Udalfs,Hapludalfs
224,2514,8792518,3822712,Udalfs,Hapludalfs
225,3268,8785488,3716420,Psamments,Udipsamments
226,2816,8799223,3625719,Udolls,Hapludolls
227,2683,8744716,3857980,Udolls,Hapludolls
228,2690,8771081,3807805,Udolls,Hapludolls
229,1533,8697763,3858292,Udalfs,Hapludalfs
230,1343,8685045,3817573,Aquolls,Endoaquolls
231,2338,8665369,3771633,Udalfs,Hapludalfs
232,2314,8679094,3792282,Udalfs,Hapludalfs
233,1812,8695884,3662808,Udalfs,Hapludalfs
234,1407,8756455,3628551,Aqualfs,Epiaqualfs
235,61,8707493,3622992,Albolls,Argialbolls
236,632,8788349,3648397,Udolls,Argiudolls
237,127,8695476,3622345,Aquolls,Argiaquolls
238,61,8707493,3622992,Albolls,Argialbolls
239,774,8799327,3825782,Udolls,Argiudolls
240,3205,8810318,3834446,Fluvents,Udifluvents
241,958,8790673,3839849,Aqualfs,Endoaqualfs
242,2530,8820461,3815624,Udalfs,Hapludalfs
243,988,8809598,3810559,Aqualfs,Endoaqualfs
244,2539,8794209,3816909,Udalfs,Hapludalfs
245,2539,8794209,3816909,Udalfs,Hapludalfs
246,2539,8794209,3816909,Udalfs,Hapludalfs
247,2892,8796292,3816176,Udolls,Hapludolls
248,2539,8794209,3816909,Udalfs,Hapludalfs
249,2258,8791796,3836891,Udalfs,Hapludalfs
250,2895,8812278,3852065,Udolls,Hapludolls
251,2893,8811683,3814205,Udolls,Hapludolls
252,2261,8830068,3833632,Udalfs,Hapludalfs
253,774,8799327,3825782,Udolls,Argiudolls
254,2682,8816701,3814495,Udolls,Hapludolls
255,2530,8820461,3815624,Udalfs,Hapludalfs
256,3197,8757753,3859314,Fluvents,Udifluvents
257,675,8685240,3690930,Udolls,Argiudolls
258,148,8715543,3752128,Udolls,Argiudolls
259,2319,8753260,3725132,Udalfs,Hapludalfs
260,2530,8820461,3815624,Udalfs,Hapludalfs
261,2320,8767907,3740490,Udalfs,Hapludalfs
262,1345,8747453,3859362,Aquolls,Endoaquolls
263,1686,8758264,3817614,Udalfs,Hapludalfs
264,2919,8753235,3842718,Udolls,Hapludolls
265,2519,8743316,3864818,Udalfs,Hapludalfs
266,1254,8714491,3861129,Aquolls,Endoaquolls
267,2683,8744716,3857980,Udolls,Hapludolls
268,991,8795756,3821741,Aqualfs,Endoaqualfs
269,2528,8814646,3835865,Udalfs,Hapludalfs
270,2514,8792518,3822712,Udalfs,Hapludalfs
271,2517,8816621,3847735,Udalfs,Hapludalfs
272,772,8827770,3823857,Udolls,Argiudolls
273,2771,8797232,3860054,Udolls,Hapludolls
274,2771,8797232,3860054,Udolls,Hapludolls
275,845,8680487,3660949,Udepts,Dystrudepts
276,2088,8930507,3865569,Udalfs,Hapludalfs
277,1954,8806217,3857947,Udalfs,Hapludalfs
278,1953,8832176,3863653,Udalfs,Hapludalfs
279,1953,8832176,3863653,Udalfs,Hapludalfs
280,767,8836587,3844263,Udolls,Argiudolls
281,1596,8927793,3638146,Udalfs,Hapludalfs
282,487,8908999,3773851,Udolls,Argiudolls
283,2043,8904335,3778919,Udalfs,Hapludalfs
284,1590,8902471,3663693,Udalfs,Hapludalfs
285,713,8926586,3731952,Udolls,Argiudolls
286,256,8835528,3694583,Udolls,Argiudolls
287,709,8943816,3739220,Udolls,Argiudolls
288,767,8836587,3844263,Udolls,Argiudolls
289,1314,8951724,3704795,Aquolls,Endoaquolls
290,1311,8988230,3676132,Aquolls,Endoaquolls
291,1003,8913245,3623590,Aquents,Endoaquents
292,1310,8980530,3674476,Aquolls,Endoaquolls
293,1823,8897327,3853980,Udalfs,Hapludalfs
294,1818,8899697,3865842,Udalfs,Hapludalfs
295,2049,8938101,3787266,Udalfs,Hapludalfs
296,138,8915152,3828614,Udolls,Argiudolls
297,763,8915113,3828486,Udolls,Argiudolls
298,292,8929404,3669144,Udolls,Argiudolls
299,592,8915577,3813292,Udolls,Argiudolls
300,1768,8872630,3839501,Udalfs,Hapludalfs
301,759,8890112,3704440,Udolls,Argiudolls
302,532,8889258,3705326,Udolls,Argiudolls
303,2201,8851905,3699123,Udalfs,Hapludalfs
304,532,8889258,3705326,Udolls,Argiudolls
305,1853,8897387,3808890,Udalfs,Hapludalfs
306,2798,8876929,3756065,Udolls,Hapludolls
307,1184,8886495,3753872,Aquolls,Endoaquolls
308,1253,8836944,3671225,Aquolls,Endoaquolls
309,84,8825142,3679543,Albolls,Argialbolls
310,3009,8828746,3694190,Udolls,Hapludolls
311,3007,8826081,3680518,Udolls,Hapludolls
312,2641,8812453,3640938,Udolls,Hapludolls
313,1178,8886613,3646657,Aquolls,Endoaquolls
314,2498,8848298,3817593,Udalfs,Hapludalfs
315,959,8809730,3827442,Aqualfs,Endoaqualfs
316,3187,8819091,3832659,Fluvents,Udifluvents
317,1304,8818098,3771961,Aquolls,Endoaquolls
318,971,8865293,3768797,Aqualfs,Endoaqualfs
319,986,8859567,3772446,Aqualfs,Endoaqualfs
320,2490,8814945,3781385,Udalfs,Hapludalfs
321,1351,8819402,3754831,Aquolls,Endoaquolls
322,1351,8819402,3754831,Aquolls,Endoaquolls
323,1351,8819402,3754831,Aquolls,Endoaquolls
324,2488,8816612,3757235,Udalfs,Hapludalfs
325,1351,8819402,3754831,Aquolls,Endoaquolls
326,2487,8816493,3757182,Udalfs,Hapludalfs
327,596,8862692,3758879,Udolls,Argiudolls
328,2479,8817883,3762463,Udalfs,Hapludalfs
329,1349,8821414,3759063,Aquolls,Endoaquolls
330,2884,8788739,3807925,Udolls,Hapludolls
331,3261,8792494,3781127,Psamments,Udipsamments
332,2996,8790111,3781078,Udolls,Hapludolls
333,3261,8792494,3781127,Psamments,Udipsamments
334,3261,8792494,3781127,Psamments,Udipsamments
335,2884,8788739,3807925,Udolls,Hapludolls
336,1301,8787738,3800885,Aquolls,Endoaquolls
337,1303,8792428,3778721,Aquolls,Endoaquolls
338,2995,8785958,3805946,Udolls,Hapludolls
339,2484,8783929,3807778,Udalfs,Hapludalfs
340,2484,8783929,3807778,Udalfs,Hapludalfs
341,583,8791599,3796075,Udolls,Argiudolls
342,2993,8776087,3804723,Udolls,Hapludolls
343,2884,8788739,3807925,Udolls,Hapludolls
344,2991,8868498,3761347,Udolls,Hapludolls
345,2991,8868498,3761347,Udolls,Hapludolls
346,596,8862692,3758879,Udolls,Argiudolls
347,3016,8814804,3774601,Udolls,Hapludolls
348,2489,8816485,3757287,Udalfs,Hapludalfs
349,2522,8854148,3782798,Udalfs,Hapludalfs
350,986,8859567,3772446,Aqualfs,Endoaqualfs
351,755,8858872,3771968,Udolls,Argiudolls
352,727,8876907,3769608,Udolls,Argiudolls
353,2478,8822533,3766489,Udalfs,Hapludalfs
354,2563,8762341,3841341,Udalfs,Hapludalfs
355,1067,8768410,3808192,Aquolls,Endoaquolls
356,2659,8759443,3820403,Udolls,Hapludolls
357,2919,8753235,3842718,Udolls,Hapludolls
358,986,8859567,3772446,Aqualfs,Endoaqualfs
359,2499,8897605,3845843,Udalfs,Hapludalfs
360,3192,8799834,3809589,Fluvents,Udifluvents
361,2238,8781739,3848197,Udalfs,Hapludalfs
362,2540,8766030,3645041,Udalfs,Hapludalfs
363,1671,8678578,3643044,Udalfs,Hapludalfs
364,1384,8665386,3638103,Aqualfs,Epiaqualfs
365,2248,8835810,3803635,Udalfs,Hapludalfs
366,2252,8861818,3789617,Udalfs,Hapludalfs
367,3212,8857470,3791877,Fluvents,Udifluvents
368,3189,8816819,3785099,Fluvents,Udifluvents
369,2251,8862466,3794347,Udalfs,Hapludalfs
370,2254,8852817,3791717,Udalfs,Hapludalfs
371,961,8769004,3866470,Aqualfs,Endoaqualfs
372,2495,8773538,3856736,Udalfs,Hapludalfs
373,594,8752405,3864440,Udolls,Argiudolls
374,2899,8750539,3855242,Udolls,Hapludolls
375,2274,8765884,3866716,Udalfs,Hapludalfs
376,719,8935030,3812431,Udolls,Argiudolls
377,3175,8897335,3706505,Fluvents,Udifluvents
378,211,8849676,3682052,Udolls,Argiudolls
379,208,8912082,3804944,Udolls,Argiudolls
380,479,8876571,3687065,Udolls,Argiudolls
381,1903,8833891,3689004,Udalfs,Hapludalfs
382,2468,8872369,3814161,Udalfs,Hapludalfs
383,2468,8872369,3814161,Udalfs,Hapludalfs
384,3128,8913709,3692197,Arents,Udarents
385,3104,8894349,3721856,Arents,Udarents
386,351,8911215,3720609,Udolls,Argiudolls
387,351,8911215,3720609,Udolls,Argiudolls
388,3104,8894349,3721856,Arents,Udarents
389,3126,8894692,3721390,Arents,Udarents
390,3079,8925128,3734930,Aquepts,Humaquepts
391,1189,8887527,3735927,Aquolls,Endoaquolls
392,705,8949400,3700085,Udolls,Argiudolls
393,2451,8944526,3715129,Udalfs,Hapludalfs
394,1497,8883505,3765784,Saprists,Haplosaprists
395,1164,8904259,3727870,Aquolls,Endoaquolls
396,1368,8881812,3777069,Aquolls,Endoaquolls
397,1368,8881812,3777069,Aquolls,Endoaquolls
398,2037,8830605,3686975,Udalfs,Hapludalfs
399,1292,8968527,3787619,Aquolls,Endoaquolls
400,688,8967931,3811493,Udolls,Argiudolls
401,2831,8954886,3780266,Udolls,Hapludolls
402,2047,8944829,3730801,Udalfs,Hapludalfs
403,1585,8935643,3656373,Udalfs,Hapludalfs
404,321,8899680,3715518,Udolls,Argiudolls
405,321,8899680,3715518,Udolls,Argiudolls
406,2198,8929807,3776500,Udalfs,Hapludalfs
407,84,8825142,3679543,Albolls,Argialbolls
408,760,8856802,3700650,Udolls,Argiudolls
409,7,8886573,3728577,Aqualfs,Albaqualfs
410,383,8952816,3713670,Udolls,Argiudolls
411,2845,8899357,3745938,Udolls,Hapludolls
412,744,8890116,3693174,Udolls,Argiudolls
413,1607,8934997,3655737,Udalfs,Hapludalfs
414,1614,8842708,3707109,Udalfs,Hapludalfs
415,157,8939892,3836706,Udolls,Argiudolls
416,157,8939892,3836706,Udolls,Argiudolls
417,859,8971331,3732617,Aqualfs,Endoaqualfs
418,2974,8916654,3687465,Udolls,Hapludolls
419,210,8886343,3678410,Udolls,Argiudolls
420,898,8803488,3623612,Aqualfs,Endoaqualfs
421,70,8934838,3721958,Albolls,Argialbolls
422,1673,8912280,3639217,Udalfs,Hapludalfs
423,552,8933540,3679929,Udolls,Argiudolls
424,1937,8952450,3815759,Udalfs,Hapludalfs
425,1084,8867858,3730253,Aquolls,Endoaquolls
426,1567,8828215,3717597,Udalfs,Hapludalfs
427,2293,8981490,3755288,Udalfs,Hapludalfs
428,859,8971331,3732617,Aqualfs,Endoaqualfs
429,601,8999221,3630074,Udolls,Argiudolls
430,2022,8855629,3635816,Udalfs,Hapludalfs
431,2737,8893393,3751852,Udolls,Hapludolls
432,382,8821871,3679887,Udolls,Argiudolls
433,2729,8821572,3682530,Udolls,Hapludolls
434,2745,8881996,3743787,Udolls,Hapludolls
435,2729,8821572,3682530,Udolls,Hapludolls
436,2729,8821572,3682530,Udolls,Hapludolls
437,2865,8933400,3755898,Udolls,Hapludolls
438,1792,8943341,3757305,Udalfs,Hapludalfs
439,316,8887790,3737018,Udolls,Argiudolls
440,1362,8881770,3779269,Aquolls,Endoaquolls
441,2734,8912682,3726927,Udolls,Hapludolls
442,973,8911615,3754274,Aqualfs,Endoaqualfs
443,1288,8902748,3731662,Aquolls,Endoaquolls
444,2934,8945872,3703428,Udolls,Hapludolls
445,2222,8920348,3810952,Udalfs,Hapludalfs
446,906,8879575,3667855,Aqualfs,Endoaqualfs
447,2972,8889908,3657532,Udolls,Hapludolls
448,2748,8899716,3757478,Udolls,Hapludolls
449,690,8965810,3810768,Udolls,Argiudolls
450,1493,8978827,3762615,Saprists,Haplosaprists
451,1424,8923779,3720258,Udepts,Eutrudepts
452,2428,8914927,3722492,Udalfs,Hapludalfs
453,2166,8871077,3657455,Udalfs,Hapludalfs
454,3180,8902817,3776981,Fluvents,Udifluvents
455,2781,8886035,3629788,Udolls,Hapludolls
456,2649,8884255,3731730,Udolls,Hapludolls
457,554,8926029,3799669,Udolls,Argiudolls
458,2021,8847123,3663770,Udalfs,Hapludalfs
459,1160,8923472,3774512,Aquolls,Endoaquolls
460,2453,8883375,3706830,Udalfs,Hapludalfs
461,744,8890116,3693174,Udolls,Argiudolls
462,2831,8954886,3780266,Udolls,Hapludolls
463,1442,8892696,3769855,Udepts,Eutrudepts
464,1320,8958652,3673374,Aquolls,Endoaquolls
465,972,8911781,3754697,Aqualfs,Endoaqualfs
466,703,8970029,3776578,Udolls,Argiudolls
467,199,8973809,3669674,Udolls,Argiudolls
468,1364,8815494,3654889,Aquolls,Endoaquolls
469,2577,8905149,3769396,Udalfs,Hapludalfs
470,239,8880274,3628903,Udolls,Argiudolls
471,3107,8894505,3649511,Arents,Udarents
472,123,8759403,3631560,Aquolls,Argiaquolls
473,129,8692642,3630244,Aquolls,Argiaquolls
474,1944,8715707,3657709,Udalfs,Hapludalfs
475,3244,8812344,3689299,Psamments,Udipsamments
476,1419,8948359,3718038,Udepts,Eutrudepts
477,1747,8891543,3660788,Udalfs,Hapludalfs
478,84,8825142,3679543,Albolls,Argialbolls
479,1566,8985439,3656826,Udalfs,Hapludalfs
480,212,8965984,3697806,Udolls,Argiudolls
481,611,8930922,3694223,Udolls,Argiudolls
482,563,8972275,3638967,Udolls,Argiudolls
483,1025,8963727,3667486,Aquolls,Endoaquolls
484,1583,8964258,3648215,Udalfs,Hapludalfs
485,1027,8870785,3638078,Aquolls,Endoaquolls
486,1565,8878790,3638982,Udalfs,Hapludalfs
487,2629,8912937,3628204,Udolls,Hapludolls
488,2967,8927042,3729416,Udolls,Hapludolls
489,2967,8927042,3729416,Udolls,Hapludolls
490,45,8825873,3680106,Aqualfs,Albaqualfs
491,713,8926586,3731952,Udolls,Argiudolls
492,315,8931713,3715532,Udolls,Argiudolls
493,738,8930977,3722081,Udolls,Argiudolls
494,740,8925981,3723559,Udolls,Argiudolls
495,2635,8933494,3737478,Udolls,Hapludolls
496,83,8825182,3679516,Albolls,Argialbolls
497,1841,8728606,3643061,Udalfs,Hapludalfs
498,393,8750380,3638958,Udolls,Argiudolls
499,2438,8757739,3655165,Udalfs,Hapludalfs
500,124,8764382,3645760,Aquolls,Argiaquolls
501,2438,8757739,3655165,Udalfs,Hapludalfs
502,1384,8665386,3638103,Aqualfs,Epiaqualfs
503,403,8737046,3661154,Udolls,Argiudolls
504,1384,8665386,3638103,Aqualfs,Epiaqualfs
505,1384,8665386,3638103,Aqualfs,Epiaqualfs
506,2468,8872369,3814161,Udalfs,Hapludalfs
507,2468,8872369,3814161,Udalfs,Hapludalfs
508,2798,8876929,3756065,Udolls,Hapludolls
509,2206,8879431,3765916,Udalfs,Hapludalfs
510,2798,8876929,3756065,Udolls,Hapludolls
511,2798,8876929,3756065,Udolls,Hapludolls
512,2852,8833971,3675800,Udolls,Hapludolls
513,52,8830170,3686113,Aqualfs,Albaqualfs
514,45,8825873,3680106,Aqualfs,Albaqualfs
515,706,8951835,3710539,Udolls,Argiudolls
516,383,8952816,3713670,Udolls,Argiudolls
517,708,8953330,3713414,Udolls,Argiudolls
518,3006,8948105,3697570,Udolls,Hapludolls
519,706,8951835,3710539,Udolls,Argiudolls
520,703,8970029,3776578,Udolls,Argiudolls
521,529,8922662,3738278,Udolls,Argiudolls
522,377,8890163,3777796,Udolls,Argiudolls
523,611,8930922,3694223,Udolls,Argiudolls
524,2412,8928832,3738545,Udalfs,Hapludalfs
525,394,8890149,3779078,Udolls,Argiudolls
526,2645,8930817,3741005,Udolls,Hapludolls
527,350,8927971,3706555,Udolls,Argiudolls
528,935,8906838,3733592,Aqualfs,Endoaqualfs
529,1711,8891747,3774290,Udalfs,Hapludalfs
530,2378,8897698,3737165,Udalfs,Hapludalfs
531,941,8907266,3753705,Aqualfs,Endoaqualfs
532,2956,8901558,3744187,Udolls,Hapludolls
533,384,8890427,3743884,Udolls,Argiudolls
534,935,8906838,3733592,Aqualfs,Endoaqualfs
535,2848,8909640,3735798,Udolls,Hapludolls
536,1081,8920752,3765533,Aquolls,Endoaquolls
537,941,8907266,3753705,Aqualfs,Endoaqualfs
538,2968,8912349,3762056,Udolls,Hapludolls
539,1913,8944380,3779583,Udalfs,Hapludalfs
540,732,8925152,3765203,Udolls,Argiudolls
541,355,8924362,3770540,Udolls,Argiudolls
542,1093,8941355,3762875,Aquolls,Endoaquolls
