X,Y,TAXOUSDA,TAXNUSDA
8952816,3713670,Udolls,Argiudolls
8890427,3743884,Udolls,Argiudolls
8956311,3781098,Udolls,Argiudolls
8947215,3803921,Udolls,Argiudolls
8869464,3747612,Udolls,Argiudolls
8917670,3842764,Udolls,Argiudolls
8854588,3655482,Udolls,Argiudolls
8853622,3679847,Udolls,Argiudolls
8854277,3641748,Udolls,Argiudolls
8947376,3804038,Udolls,Argiudolls
8750380,3638958,Udolls,Argiudolls
8890149,3779078,Udolls,Argiudolls
8879141,3791369,Udolls,Argiudolls
8727126,3709629,Udolls,Argiudolls
8717774,3646099,Udolls,Argiudolls
8727203,3709649,Udolls,Argiudolls
8701714,3714788,Udolls,Argiudolls
8705284,3826078,Udolls,Argiudolls
8678804,3849925,Udolls,Argiudolls
8701958,3807325,Udolls,Argiudolls
8725274,3654845,Udolls,Argiudolls
8737046,3661154,Udolls,Argiudolls
8731126,3665486,Udolls,Argiudolls
8720464,3654789,Udolls,Argiudolls
8725778,3654123,Udolls,Argiudolls
8849291,3860758,Udolls,Argiudolls
8849198,3860834,Udolls,Argiudolls
8693803,3830989,Udolls,Argiudolls
8675739,3811578,Udolls,Argiudolls
8838118,3840399,Udolls,Argiudolls
8950495,3683866,Udolls,Argiudolls
8956650,3651947,Udolls,Argiudolls
8925667,3709148,Udolls,Argiudolls
8982471,3662463,Udolls,Argiudolls
8868236,3627638,Udolls,Argiudolls
8872979,3633837,Udolls,Argiudolls
8968603,3673741,Udolls,Argiudolls
8866447,3631156,Udolls,Argiudolls
8959430,3643302,Udolls,Argiudolls
8840054,3686617,Udolls,Argiudolls
8853212,3698274,Udolls,Argiudolls
8853163,3698268,Udolls,Argiudolls
8858815,3700355,Udolls,Argiudolls
8849084,3697086,Udolls,Argiudolls
8848098,3697703,Udolls,Argiudolls
8731499,3785133,Udolls,Argiudolls
8727697,3778062,Udolls,Argiudolls
8718090,3776766,Udolls,Argiudolls
8719787,3779483,Udolls,Argiudolls
8713413,3778722,Udolls,Argiudolls
8702565,3784622,Udolls,Argiudolls
8712674,3791493,Udolls,Argiudolls
8703197,3800881,Udolls,Argiudolls
8699634,3795805,Udolls,Argiudolls
8702670,3776737,Udolls,Argiudolls
8702012,3777452,Udolls,Argiudolls
8962523,3668961,Udolls,Argiudolls
8938075,3688307,Udolls,Argiudolls
8967758,3654157,Udolls,Argiudolls
8945189,3770185,Udolls,Argiudolls
8949057,3771002,Udolls,Argiudolls
8841399,3682869,Udolls,Argiudolls
8845602,3681262,Udolls,Argiudolls
8850363,3678801,Udolls,Argiudolls
8918900,3811035,Udolls,Argiudolls
8836812,3654325,Udolls,Argiudolls
8857639,3648387,Udolls,Argiudolls
8862444,3639196,Udolls,Argiudolls
8910134,3780463,Udolls,Argiudolls
8884448,3775430,Udolls,Argiudolls
8842358,3640779,Udolls,Argiudolls
8943475,3727458,Udolls,Argiudolls
8933647,3725494,Udolls,Argiudolls
8930768,3729140,Udolls,Argiudolls
8926246,3774953,Udolls,Argiudolls
8917729,3805671,Udolls,Argiudolls
8878775,3690793,Udolls,Argiudolls
8844162,3705480,Udolls,Argiudolls
8844748,3630326,Udolls,Argiudolls
8715543,3752126,Udolls,Argiudolls
8717504,3738327,Udolls,Argiudolls
8700889,3709844,Udolls,Argiudolls
8835453,3658076,Udolls,Argiudolls
8900682,3687227,Udolls,Argiudolls
8930895,3743965,Udolls,Argiudolls
8942513,3752386,Udolls,Argiudolls
8947040,3758195,Udolls,Argiudolls
8948450,3755748,Udolls,Argiudolls
8966630,3770268,Udolls,Argiudolls
8964230,3793568,Udolls,Argiudolls
8947053,3790376,Udolls,Argiudolls
8938925,3782231,Udolls,Argiudolls
8878431,3690768,Udolls,Argiudolls
8818720,3624541,Udolls,Argiudolls
8868618,3706661,Udolls,Argiudolls
8871336,3698277,Udolls,Argiudolls
8864962,3838425,Udolls,Argiudolls
8876571,3687065,Udolls,Argiudolls
8888435,3660023,Udolls,Argiudolls
8895891,3663006,Udolls,Argiudolls
8875311,3659690,Udolls,Argiudolls
8943599,3769796,Udolls,Argiudolls
8850691,3621919,Udolls,Argiudolls
8840430,3683823,Udolls,Argiudolls
8904993,3774072,Udolls,Argiudolls
8908999,3773851,Udolls,Argiudolls
8841461,3682086,Udolls,Argiudolls
8850585,3631801,Udolls,Argiudolls
8888451,3817108,Udolls,Argiudolls
8894168,3688870,Udolls,Argiudolls
8838768,3663471,Udolls,Argiudolls
8919903,3776536,Udolls,Argiudolls
8878795,3699760,Udolls,Argiudolls
8898702,3724708,Udolls,Argiudolls
8888379,3834610,Udolls,Argiudolls
8944749,3764745,Udolls,Argiudolls
8941492,3759941,Udolls,Argiudolls
8943886,3764221,Udolls,Argiudolls
8937511,3767568,Udolls,Argiudolls
8948025,3764228,Udolls,Argiudolls
8945183,3761438,Udolls,Argiudolls
8935759,3758452,Udolls,Argiudolls
8884366,3769948,Udolls,Argiudolls
8890381,3783895,Udolls,Argiudolls
8887970,3768237,Udolls,Argiudolls
8863937,3843966,Udolls,Argiudolls
8919402,3855773,Udolls,Argiudolls
8908947,3846517,Udolls,Argiudolls
8822769,3681558,Udolls,Argiudolls
8890423,3644460,Udolls,Argiudolls
8868898,3834273,Udolls,Argiudolls
8871779,3839793,Udolls,Argiudolls
8882184,3825239,Udolls,Argiudolls
8865044,3838859,Udolls,Argiudolls
8889237,3834705,Udolls,Argiudolls
8889228,3834744,Udolls,Argiudolls
8724496,3628936,Udolls,Argiudolls
8842316,3653659,Udolls,Argiudolls
8902412,3808990,Udolls,Argiudolls
8885924,3784237,Udolls,Argiudolls
8874893,3823432,Udolls,Argiudolls
8919940,3731413,Udolls,Argiudolls
8921258,3723029,Udolls,Argiudolls
8973660,3762563,Udolls,Argiudolls
8959722,3714414,Udolls,Argiudolls
8924563,3691961,Udolls,Argiudolls
8865004,3840152,Udolls,Argiudolls
8922662,3738278,Udolls,Argiudolls
8970095,3808540,Udolls,Argiudolls
8926984,3697778,Udolls,Argiudolls
8889258,3705326,Udolls,Argiudolls
8932203,3770582,Udolls,Argiudolls
8955676,3779505,Udolls,Argiudolls
8946805,3779242,Udolls,Argiudolls
8931678,3770391,Udolls,Argiudolls
8940516,3653370,Udolls,Argiudolls
8894481,3743934,Udolls,Argiudolls
8839679,3660901,Udolls,Argiudolls
8949577,3779004,Udolls,Argiudolls
8953747,3712181,Udolls,Argiudolls
8947789,3804001,Udolls,Argiudolls
8964224,3793665,Udolls,Argiudolls
8942694,3657241,Udolls,Argiudolls
8942310,3658497,Udolls,Argiudolls
8981332,3661869,Udolls,Argiudolls
8942384,3654580,Udolls,Argiudolls
8894496,3743865,Udolls,Argiudolls
8896864,3626539,Udolls,Argiudolls
8847427,3697469,Udolls,Argiudolls
8857160,3651347,Udolls,Argiudolls
8933540,3679929,Udolls,Argiudolls
8859592,3659137,Udolls,Argiudolls
8926029,3799669,Udolls,Argiudolls
8895832,3626135,Udolls,Argiudolls
8907858,3624505,Udolls,Argiudolls
8886407,3662924,Udolls,Argiudolls
8864214,3670144,Udolls,Argiudolls
8882117,3680908,Udolls,Argiudolls
8870218,3685095,Udolls,Argiudolls
8857570,3682432,Udolls,Argiudolls
8839295,3622560,Udolls,Argiudolls
8972275,3638967,Udolls,Argiudolls
8902938,3639119,Udolls,Argiudolls
8900555,3631250,Udolls,Argiudolls
8972348,3682481,Udolls,Argiudolls
8933139,3678389,Udolls,Argiudolls
8946899,3623989,Udolls,Argiudolls
8909657,3669326,Udolls,Argiudolls
8855816,3632122,Udolls,Argiudolls
8861454,3669717,Udolls,Argiudolls
8875464,3664456,Udolls,Argiudolls
8852731,3682390,Udolls,Argiudolls
8855611,3687626,Udolls,Argiudolls
8911608,3691961,Udolls,Argiudolls
8845991,3631336,Udolls,Argiudolls
8847351,3632868,Udolls,Argiudolls
8894738,3679471,Udolls,Argiudolls
8909424,3689443,Udolls,Argiudolls
8984801,3629866,Udolls,Argiudolls
8941493,3759821,Udolls,Argiudolls
8961492,3806639,Udolls,Argiudolls
8791599,3796075,Udolls,Argiudolls
8773116,3840621,Udolls,Argiudolls
8781830,3845177,Udolls,Argiudolls
8826128,3786424,Udolls,Argiudolls
8821600,3784668,Udolls,Argiudolls
8847609,3807267,Udolls,Argiudolls
8835736,3806237,Udolls,Argiudolls
8819920,3832011,Udolls,Argiudolls
8837563,3710927,Udolls,Argiudolls
8915577,3813292,Udolls,Argiudolls
9001250,3715001,Udolls,Argiudolls
8752405,3864440,Udolls,Argiudolls
8823325,3783411,Udolls,Argiudolls
8862692,3758879,Udolls,Argiudolls
8844983,3635125,Udolls,Argiudolls
8867258,3717277,Udolls,Argiudolls
8849241,3640819,Udolls,Argiudolls
8857639,3648386,Udolls,Argiudolls
8999221,3630074,Udolls,Argiudolls
8946998,3700486,Udolls,Argiudolls
8957737,3708878,Udolls,Argiudolls
8950926,3828618,Udolls,Argiudolls
8981301,3757274,Udolls,Argiudolls
8981475,3755299,Udolls,Argiudolls
8981460,3755310,Udolls,Argiudolls
8981446,3755322,Udolls,Argiudolls
8981402,3755355,Udolls,Argiudolls
8995885,3772162,Udolls,Argiudolls
8930922,3694223,Udolls,Argiudolls
8956901,3724321,Udolls,Argiudolls
8982936,3763756,Udolls,Argiudolls
8982975,3763761,Udolls,Argiudolls
8982995,3763764,Udolls,Argiudolls
8983015,3763767,Udolls,Argiudolls
8983035,3763769,Udolls,Argiudolls
8983094,3763777,Udolls,Argiudolls
8987504,3776147,Udolls,Argiudolls
8987549,3776153,Udolls,Argiudolls
8981319,3757137,Udolls,Argiudolls
8981313,3757176,Udolls,Argiudolls
8981306,3757235,Udolls,Argiudolls
8984081,3763998,Udolls,Argiudolls
8994306,3773922,Udolls,Argiudolls
8752364,3796460,Udolls,Argiudolls
8792547,3647273,Udolls,Argiudolls
8777567,3671902,Udolls,Argiudolls
8770677,3672818,Udolls,Argiudolls
8789676,3672808,Udolls,Argiudolls
8800294,3649940,Udolls,Argiudolls
8788349,3648397,Udolls,Argiudolls
8780217,3681301,Udolls,Argiudolls
8722392,3672843,Udolls,Argiudolls
8740569,3724170,Udolls,Argiudolls
8725642,3667982,Udolls,Argiudolls
8740926,3660940,Udolls,Argiudolls
8725795,3666791,Udolls,Argiudolls
8741421,3664193,Udolls,Argiudolls
8771601,3688657,Udolls,Argiudolls
8771913,3688758,Udolls,Argiudolls
8730470,3697277,Udolls,Argiudolls
8692363,3711201,Udolls,Argiudolls
8692603,3680809,Udolls,Argiudolls
8793162,3676283,Udolls,Argiudolls
8780522,3683356,Udolls,Argiudolls
8786165,3685474,Udolls,Argiudolls
8697605,3672482,Udolls,Argiudolls
8699221,3676630,Udolls,Argiudolls
8699077,3676610,Udolls,Argiudolls
8712008,3676666,Udolls,Argiudolls
8692263,3669146,Udolls,Argiudolls
8680711,3671251,Udolls,Argiudolls
8706685,3665290,Udolls,Argiudolls
8694757,3668298,Udolls,Argiudolls
8773463,3658713,Udolls,Argiudolls
8769206,3679285,Udolls,Argiudolls
8710898,3736069,Udolls,Argiudolls
8723728,3740684,Udolls,Argiudolls
8723829,3671317,Udolls,Argiudolls
8699858,3707442,Udolls,Argiudolls
8740065,3715679,Udolls,Argiudolls
8690800,3677802,Udolls,Argiudolls
8696355,3672658,Udolls,Argiudolls
8696377,3672651,Udolls,Argiudolls
8698256,3673006,Udolls,Argiudolls
8694727,3674158,Udolls,Argiudolls
8768484,3688776,Udolls,Argiudolls
8810152,3723327,Udolls,Argiudolls
8815239,3747551,Udolls,Argiudolls
8783673,3759977,Udolls,Argiudolls
8783824,3767262,Udolls,Argiudolls
8664548,3803754,Udolls,Argiudolls
8708650,3746323,Udolls,Argiudolls
8685240,3690930,Udolls,Argiudolls
8814152,3727979,Udolls,Argiudolls
8807423,3723631,Udolls,Argiudolls
8668653,3749773,Udolls,Argiudolls
8666331,3748289,Udolls,Argiudolls
8854545,3736303,Udolls,Argiudolls
8833180,3746924,Udolls,Argiudolls
8833749,3733486,Udolls,Argiudolls
